round,winner,results,year,gender,player1,player2,country1,country2,firstServe1,firstServe2,ace1,ace2,double1,double2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,fastServe1,fastServe2,avgFirstServe1,avgFirstServe2,avgSecServe1,avgSecServe2,break1,break2,return1,return2,total1,total2,winner1,winner2,error1,error2,net1,net2,FirstandSecondPointWon1,FirstandSecondPointWon2,,,,,,,,
Third,Gilles Simon,7-6(2) 6-4 6-2,2009,m,Gilles Simon,Mario Ancic,FRA,CRO,59,53,0,7,1,3,70,71,54,44,196,206,172,190,135,153,50,17,42,36,115,99,36,29,35,49,69,68,37.8,31.24,,,,,,,,
Third,Tommy Robredo,6-1 6-3 6-2,2009,m,Tommy Robredo,Yen-Hsun Lu,ESP,TPE,75,63,7,1,1,2,74,58,56,31,196,190,167,177,153,145,64,25,52,31,86,56,32,12,21,33,88,57,41.44,17.98,,,,,,,,
Third,Andy Roddick,6-3 6-4 6-2,2009,m,Andy Roddick,Fabrice Santoro,USA,FRA,73,57,22,4,1,2,85,69,65,47,211,192,195,169,171,134,36,0,41,21,90,62,50,20,19,12,70,50,55.25,32.43,,,,,,,,
Third,Marin Cilic,7-6(5) 6-3 6-4,2009,m,Marin Cilic,David Ferrer,CRO,ESP,59,70,7,0,0,3,68,59,59,70,209,185,196,169,145,140,40,50,38,36,103,94,33,13,46,39,74,85,40.12,41.3,,,,,,,,
Third,Marcos Baghdatis,6-2 6-4 6-4,2009,m,Marcos Baghdatis,Mardy Fish,CYP,USA,54,54,5,10,4,4,80,60,47,47,200,219,187,188,148,148,43,67,46,35,105,89,34,27,29,45,78,47,37.6,28.2,,,,,,,,
Third,Tomas Berdych,4-6 6-1 6-3 6-4,2009,m,Tomas Berdych,Stanislas Wawrinka,CZE,SUI,63,51,9,9,3,2,77,66,44,48,208,204,193,187,161,146,25,14,43,35,136,119,49,39,46,49,74,62,33.88,31.68,,,,,,,,
Third,Novak Djokovic,6-2 4-6 6-3 7-6(4),2009,m,Novak Djokovic,Amer Delic,SRB,BIH,65,59,11,16,4,6,79,77,52,44,208,224,193,206,153,171,38,11,37,31,139,123,30,46,27,56,65,68,41.08,33.88,,,,,,,,
Third,Juan Martin Del Potro,6-7(5) 7-5 6-3 7-5,2009,m,Juan Martin Del Potro,Gilles Muller,ARG,LUX,73,64,12,22,3,9,83,70,62,43,206,206,177,187,146,158,17,33,40,23,168,137,62,71,25,62,80,70,51.46,30.1,,,,,,,,
Second,Richard Gasquet,6-3 6-4 6-4,2009,m,Richard Gasquet,Denis Istomin,FRA,UZB,53,60,7,5,4,2,78,67,63,34,211,196,188,183,153,146,31,33,46,29,106,76,35,21,29,35,70,67,49.14,22.78,,,,,,,,
Second,Andy Murray,6-4 6-2 6-2,2009,m,Andy Murray,Marcel Granollers,GBR,ESP,57,52,4,2,1,1,73,56,65,47,208,200,177,180,135,146,38,50,48,30,100,72,37,18,31,27,83,46,47.45,26.32,,,,,,,,
Second,James Blake,6-3 6-2 6-3,2009,m,James Blake,Sebastien de Chaunac,USA,FRA,63,48,4,9,5,7,84,63,53,45,196,193,177,182,148,142,28,0,47,27,109,79,28,33,26,40,68,71,44.52,28.35,,,,,,,,
Second,Mario Ancic,5-7 7-5 4-6 6-4 6-3,2009,m,Mario Ancic,Ivo Karlovic,CRO,CRO,64,65,8,25,1,2,79,78,68,46,200,217,193,198,154,161,50,50,33,25,149,137,51,49,29,42,73,49,53.72,35.88,,,,,,,,
Second,Igor Andreev,6-4 6-4 5-7 3-6 6-4,2009,m,Igor Andreev,Ernests Gulbis,RUS,LAT,59,64,9,14,7,8,73,68,54,49,196,211,167,195,148,161,24,25,39,35,179,173,44,53,70,80,59,63,39.42,33.32,,,,,,,,
Second,Fernando Verdasco,6-1 6-1 6-2,2009,m,Fernando Verdasco,Arnaud Clement,ESP,FRA,84,63,7,2,1,3,83,44,78,45,211,196,172,175,150,143,54,0,56,18,90,45,28,12,12,31,75,57,64.74,19.8,,,,,,,,
Second,Tommy Haas,6-1 6-2 6-1,2009,m,Tommy Haas,Flavio Cipolla,GER,ITA,51,76,7,0,2,8,74,56,67,13,201,163,192,146,158,135,40,50,55,30,95,61,36,15,27,29,66,56,49.58,7.28,,,,,,,,
Second,Gilles Simon,6-7(5) 6-4 6-1 6-2,2009,m,Gilles Simon,Chris Guccione,FRA,AUS,54,63,14,12,2,3,84,65,61,58,195,211,175,188,135,161,45,0,38,26,132,107,53,41,15,37,80,45,51.24,37.7,,,,,,,,
Second,Jo-Wilfried Tsonga,6-7(4) 7-6(8) 7-6(7) 6-2,2009,m,Jo-Wilfried Tsonga,Ivan Ljubicic,FRA,CRO,66,61,18,17,1,1,82,76,61,61,195,208,187,193,143,153,27,100,29,25,146,137,71,61,37,40,72,74,50.02,46.36,,,,,,,,
Second,Fernando Gonzalez,7-5 6-3 6-4,2009,m,Fernando Gonzalez,Guillermo Canas,CHI,ARG,67,53,12,9,3,5,83,65,55,53,201,203,175,179,140,143,20,100,41,26,112,93,52,32,33,23,68,56,45.65,34.45,,,,,,,,
Second,Rafael Nadal,6-2 6-3 6-2,2009,m,Rafael Nadal,Roko Karanusic,ESP,CRO,68,66,3,2,2,2,75,69,60,27,195,187,183,167,143,132,86,0,45,30,83,58,24,15,17,14,73,65,45,18.63,,,,,,,,
Second,Gael Monfils,6-4 6-4 3-6 6-2,2009,m,Gael Monfils,Stefan Koubek,FRA,AUT,61,54,17,2,6,3,73,68,63,63,203,198,182,175,148,140,56,33,35,30,109,100,36,28,43,44,61,65,45.99,42.84,,,,,,,,
Second,Marat Safin,7-5 6-2 6-2,2009,m,Marat Safin,Guillermo Garcia-Lopez,RUS,ESP,52,66,18,1,3,6,85,63,68,48,212,183,200,172,159,146,42,0,42,23,95,67,31,19,23,35,64,60,57.8,30.24,,,,,,,,
Second,Tomas Berdych,6-1 6-1 6-3,2009,m,Tomas Berdych,Brian Dabul,CZE,ARG,63,70,12,2,1,3,73,58,78,25,216,187,195,164,156,148,33,0,52,25,102,63,39,14,28,35,58,54,56.94,14.5,,,,,,,,
Second,Stanislas Wawrinka,6-3 6-4 6-4,2009,m,Stanislas Wawrinka,Brydan Klein,SUI,AUS,60,67,4,8,3,4,78,70,75,45,204,212,179,183,154,151,30,0,38,23,100,81,32,22,23,33,77,63,58.5,31.5,,,,,,,,
Second,Marcos Baghdatis,3-6 7-5 6-3 6-3,2009,m,Marcos Baghdatis,Robin Soderling,CYP,SWE,48,51,13,7,7,4,66,69,58,38,208,208,188,187,142,150,53,42,46,38,133,115,38,32,47,69,83,63,38.28,26.22,,,,,,,,
Second,David Ferrer,6-2 6-2 6-1,2009,m,David Ferrer,Dominik Hrbaty,ESP,SVK,64,55,8,2,1,3,95,55,62,33,188,183,177,169,140,134,100,0,55,17,78,34,20,6,18,34,100,40,58.9,18.15,,,,,,,,
Second,Novak Djokovic,7-5 6-1 6-3,2009,m,Novak Djokovic,Jeremy Chardy,SRB,FRA,71,61,7,3,1,0,75,61,68,45,200,204,192,193,151,167,100,50,45,27,89,61,33,23,17,32,75,37,51,27.45,,,,,,,,
Second,Andy Roddick,4-6 6-2 7-6(1) 6-2,2009,m,Andy Roddick,Xavier Malisse,USA,BEL,71,61,19,11,2,2,83,67,55,48,214,195,200,179,171,137,38,67,41,25,128,101,45,44,27,50,58,71,45.65,32.16,,,,,,,,
Second,Fabrice Santoro,5-7 7-5 3-6 7-5 6-3,2009,m,Fabrice Santoro,Philipp Kohlschreiber,FRA,GER,55,68,3,4,3,4,67,59,51,56,193,196,177,172,140,151,28,37,42,40,181,174,51,94,34,69,76,74,34.17,33.04,,,,,,,,
Second,Roger Federer,6-2 6-3 6-1,2009,m,Roger Federer,Evgeny Korolev,SUI,KAZ,60,51,8,2,3,3,71,54,70,44,198,201,167,188,154,148,58,100,51,29,89,59,25,26,15,44,67,52,49.7,23.76,,,,,,,,
Second,Yen-Hsun Lu,6-4 5-7 4-6 6-4 6-2,2009,m,Yen-Hsun Lu,David Nalbandian,TPE,ARG,63,50,9,5,4,8,71,66,53,51,196,192,183,180,150,148,57,35,41,36,167,149,51,37,60,61,69,74,37.63,33.66,,,,,,,,
Second,Gilles Muller,3-6 6-1 6-4 6-2,2009,m,Gilles Muller,Bernard Tomic,LUX,AUS,67,56,27,5,4,7,83,65,53,47,204,175,195,169,159,143,29,17,43,27,120,92,54,32,29,39,48,64,43.99,30.55,,,,,,,,
Second,Marin Cilic,6-2 6-3 4-6 6-3,2009,m,Marin Cilic,Janko Tipsarevic,CRO,SRB,59,55,22,4,2,3,78,60,46,50,203,203,190,188,148,140,39,33,44,35,134,115,54,32,46,42,63,68,35.88,30,,,,,,,,
Second,Juan Martin Del Potro,6-1 7-5 6-2,2009,m,Juan Martin Del Potro,Florian Mayer,ARG,GER,66,62,7,3,0,1,67,53,68,48,208,185,192,174,158,137,64,20,49,33,92,66,41,12,30,19,67,51,45.56,25.44,,,,,,,,
First,James Blake,6-4 6-3 7-5,2009,m,James Blake,Frank Dancevic,USA,CAN,66,55,7,8,5,3,80,69,45,38,198,203,179,177,145,137,40,25,45,32,109,88,46,32,21,15,78,48,36,26.22,,,,,,,,
First,Fernando Gonzalez,5-7 6-2 6-2 3-6 6-3,2009,m,Fernando Gonzalez,Lleyton Hewitt,CHI,AUS,57,53,12,9,4,11,80,63,51,52,203,193,179,172,143,146,50,36,42,33,145,121,67,32,58,47,76,80,40.8,32.76,,,,,,,,
First,Andy Murray,6-2 3-1 ret.,2009,m,Andy Murray,Andrei Pavel,GBR,ROU,65,56,2,0,3,3,100,59,45,29,198,188,158,161,130,132,75,0,54,19,46,24,13,6,11,17,100,55,45,17.11,,,,,,,,
First,Fernando Verdasco,6-0 6-2 6-2,2009,m,Fernando Verdasco,Adrian Mannarino,ESP,FRA,72,44,7,2,4,4,80,56,53,31,204,193,164,179,142,143,58,0,58,28,86,45,24,12,18,43,67,40,42.4,17.36,,,,,,,,
First,Michael Berrer,6-2 6-4 6-3,2009,m,Michael Berrer,Carsten Ball,GER,AUS,53,58,9,14,3,6,79,57,53,35,204,211,185,192,146,161,31,38,53,34,114,82,29,38,18,55,69,43,41.87,19.95,,,,,,,,
First,Tommy Haas,6-3 6-3 6-4,2009,m,Tommy Haas,Eduardo Schwank,GER,ARG,48,61,10,2,5,4,86,61,50,44,195,190,177,166,154,142,46,29,46,33,102,79,44,27,32,31,78,72,43,26.84,,,,,,,,
First,Gael Monfils,6-1 6-3 7-5,2009,m,Gael Monfils,Martin Vassallo Arguello,FRA,ARG,51,66,9,0,7,6,83,54,42,40,209,196,174,171,142,137,38,33,51,37,117,91,48,18,49,38,70,52,34.86,21.6,,,,,,,,
Final,Roger Federer,6-3 6-4 7-6(11),2010,m,Roger Federer,Andy Murray,SUI,GBR,66,57,11,10,2,4,72,69,61,51,209,214,191,196,153,151,33,25,37,32,116,100,46,29,42,36,72,61,43.92,35.19,,,,,,,,
semi,Andy Murray,3-6 6-4 6-4 6-2,2010,m,Andy Murray,Marin Cilic,GBR,CRO,63,56,5,6,1,6,76,70,57,44,207,205,183,189,148,148,31,33,39,31,125,106,40,35,29,54,69,63,43.32,30.8,,,,,,,,
quarter,Roger Federer,2-6 6-3 6-0 7-5,2010,m,Roger Federer,Nikolay Davydenko,SUI,RUS,60,62,9,1,4,4,67,59,49,39,209,207,189,176,150,150,57,26,47,39,125,104,35,35,43,50,68,58,32.83,23.01,,,,,,,,
quarter,Jo-Wilfried Tsonga,7-6(8) 6-7(5) 1-6 6-3 6-1,2010,m,Jo-Wilfried Tsonga,Novak Djokovic,FRA,SRB,64,69,19,2,2,9,68,67,48,49,215,199,193,186,150,155,67,38,36,39,158,155,54,41,55,55,59,70,32.64,32.83,,,,,,,,
quarter,Marin Cilic,7-6(4) 6-3 3-6 2-6 6-3,2010,m,Marin Cilic,Andy Roddick,CRO,USA,50,63,20,15,6,1,75,69,46,52,207,220,187,193,145,169,38,38,37,38,147,149,63,47,53,51,73,54,34.5,35.88,,,,,,,,
quarter,Andy Murray,6-3 7-6(2) 3-0 ret.,2010,m,Andy Murray,Rafael Nadal,GBR,ESP,59,67,13,1,1,1,77,63,45,42,216,199,193,175,152,143,40,17,44,36,94,75,38,23,25,26,79,87,34.65,26.46,,,,,,,,
Fourth,Roger Federer,6-2 6-3 6-4,2010,m,Roger Federer,Lleyton Hewitt,SUI,AUS,63,60,7,5,0,2,76,62,66,45,211,196,190,175,149,140,33,20,44,28,102,77,49,18,27,18,54,52,50.16,27.9,,,,,,,,
Fourth,Nikolay Davydenko,6-2 7-5 4-6 6-7(5) 6-3,2010,m,Nikolay Davydenko,Fernando Verdasco,RUS,ESP,62,57,6,15,5,20,68,73,57,45,207,219,187,195,154,164,58,33,35,35,171,157,37,45,51,81,68,67,38.76,32.85,,,,,,,,
Fourth,Novak Djokovic,6-1 6-2 7-5,2010,m,Novak Djokovic,Lukasz Kubot,SRB,POL,69,62,11,4,1,4,80,68,70,31,202,209,183,189,158,162,67,50,44,23,92,58,37,18,17,25,58,49,56,21.08,,,,,,,,
Fourth,Jo-Wilfried Tsonga,6-3 6-4 4-6 6-7(6) 9-7,2010,m,Jo-Wilfried Tsonga,Nicolas Almagro,FRA,ESP,58,77,25,13,4,1,85,75,63,53,217,215,193,178,149,146,27,25,30,24,174,160,77,46,42,40,79,75,53.55,39.75,,,,,,,,
Fourth,Andy Roddick,6-3 3-6 4-6 7-5 6-2,2010,m,Andy Roddick,Fernando Gonzalez,USA,CHI,68,61,32,17,0,9,87,75,50,44,227,213,198,181,167,147,22,50,35,25,159,141,68,83,17,49,57,71,43.5,33,,,,,,,,
Fourth,Marin Cilic,5-7 6-4 7-5 5-7 6-3,2010,m,Marin Cilic,Juan Martin Del Potro,CRO,ARG,57,60,20,19,7,3,82,72,50,54,206,214,187,190,145,145,25,30,34,31,181,173,67,46,71,58,61,62,41,38.88,,,,,,,,
Fourth,Andy Murray,7-6(4) 6-3 6-2,2010,m,Andy Murray,John Isner,GBR,USA,71,69,5,14,1,2,83,70,65,29,209,216,168,196,148,175,50,0,42,22,108,71,32,43,8,41,89,49,53.95,20.3,,,,,,,,
Fourth,Rafael Nadal,6-4 4-6 6-4 6-4,2010,m,Rafael Nadal,Ivo Karlovic,ESP,CRO,71,68,2,28,2,2,78,78,73,62,196,222,172,208,139,167,50,50,27,23,107,101,35,55,15,42,61,64,56.94,48.36,,,,,,,,
Third,Nikolay Davydenko,6-0 6-3 6-4,2010,m,Nikolay Davydenko,Juan Monaco,RUS,ARG,71,67,6,0,2,0,72,47,59,52,207,199,177,171,146,145,60,50,51,31,87,58,22,6,30,35,63,50,42.48,24.44,,,,,,,,
Third,Novak Djokovic,6-1 6-1 6-2,2010,m,Novak Djokovic,Denis Istomin,SRB,UZB,59,55,3,3,7,0,73,39,45,26,199,197,187,176,158,138,64,22,67,35,87,49,29,11,25,31,71,38,32.85,10.14,,,,,,,,
Third,Jo-Wilfried Tsonga,6-4 3-6 6-1 7-5,2010,m,Jo-Wilfried Tsonga,Tommy Haas,FRA,GER,67,69,20,9,3,2,78,66,56,56,213,197,189,181,146,149,45,50,36,29,116,100,47,32,29,38,57,67,43.68,36.96,,,,,,,,
Third,Nicolas Almagro,6-4 6-3 6-4,2010,m,Nicolas Almagro,Alejandro Falla,ESP,COL,56,50,11,3,3,2,88,63,51,51,217,193,185,175,144,142,40,25,42,27,106,81,37,13,37,35,86,57,44.88,32.13,,,,,,,,
Third,Andy Roddick,6-7(4) 6-4 6-4 7-6(3),2010,m,Andy Roddick,Feliciano Lopez,USA,ESP,74,58,29,29,3,5,80,74,67,51,219,217,201,199,168,165,18,20,35,23,158,137,54,71,21,60,54,63,53.6,37.74,,,,,,,,
Third,Fernando Gonzalez,6-7(5) 6-3 1-6 6-3 6-4,2010,m,Fernando Gonzalez,Evgeny Korolev,CHI,KAZ,57,59,20,16,5,7,80,78,51,53,209,202,179,178,149,145,36,33,31,32,154,150,63,62,41,50,90,64,40.8,41.34,,,,,,,,
Third,Marin Cilic,4-6 6-4 6-3 6-3,2010,m,Marin Cilic,Stanislas Wawrinka,CRO,SUI,57,53,10,11,2,6,83,75,49,45,209,218,189,188,140,146,50,29,37,31,129,114,35,24,56,49,65,50,40.67,33.75,,,,,,,,
Third,Juan Martin Del Potro,6-3 0-6 6-4 7-5,2010,m,Juan Martin Del Potro,Florian Mayer,ARG,GER,59,67,11,5,5,3,71,64,45,54,218,198,199,183,158,139,36,50,38,38,118,117,45,34,46,24,66,69,31.95,34.56,,,,,,,,
Third,Andy Murray,7-5 6-1 6-4,2010,m,Andy Murray,Florent Serra,GBR,FRA,55,66,14,6,3,2,81,51,56,48,211,207,188,189,145,142,44,100,49,29,102,72,49,26,28,35,87,48,45.36,24.48,,,,,,,,
Third,John Isner,6-1 4-6 7-6(4) 7-6(5),2010,m,John Isner,Gael Monfils,USA,FRA,66,60,26,12,3,7,80,71,53,52,223,210,194,183,174,151,80,43,35,28,139,118,73,34,38,28,66,86,42.4,36.92,,,,,,,,
Third,Ivo Karlovic,6-3 3-6 6-3 7-6(7),2010,m,Ivo Karlovic,Ivan Ljubicic,CRO,CRO,71,61,33,14,2,0,85,76,52,51,229,216,212,190,165,148,20,14,34,24,132,117,64,43,36,25,62,64,44.2,38.76,,,,,,,,
Third,Rafael Nadal,6-4 6-2 2-6 7-5,2010,m,Rafael Nadal,Philipp Kohlschreiber,ESP,GER,62,61,6,11,3,4,69,68,51,48,200,206,177,187,141,156,42,20,39,37,137,129,36,41,38,58,71,58,35.19,32.64,,,,,,,,
Second,Roger Federer,6-2 6-3 6-2,2010,m,Roger Federer,Victor Hanescu,SUI,ROU,67,70,8,3,1,1,82,56,63,46,204,203,192,189,153,159,45,0,47,24,96,64,52,20,18,26,81,62,51.66,25.76,,,,,,,,
Second,Albert Montanes,4-6 6-7(3) 6-2 6-3 6-2,2010,m,Albert Montanes,Stephane Robert,ESP,FRA,68,59,13,3,5,7,69,59,46,47,194,185,177,169,145,133,47,40,44,37,174,150,69,43,57,55,48,64,31.74,27.73,,,,,,,,
Second,Lleyton Hewitt,7-6(3) 6-4 6-1,2010,m,Lleyton Hewitt,Donald Young,AUS,USA,58,63,7,8,1,2,68,65,63,30,196,206,176,174,146,144,50,33,46,34,102,76,32,30,24,42,73,65,42.84,19.5,,,,,,,,
Second,Marcos Baghdatis,4-6 3-6 7-6(4) 6-3 6-1,2010,m,Marcos Baghdatis,David Ferrer,CYP,ESP,53,66,11,1,1,0,76,62,54,53,213,192,189,174,133,144,35,44,41,34,166,154,56,47,67,72,76,68,41.04,32.86,,,,,,,,
Second,Fernando Verdasco,6-1 6-2 6-2,2010,m,Fernando Verdasco,Ivan Sergeyev,ESP,UKR,70,40,6,0,6,7,72,53,46,34,210,195,177,180,154,142,44,20,54,33,101,64,38,16,32,47,72,62,33.12,18.02,,,,,,,,
Second,Juan Monaco,3-6 3-6 7-6(5) 6-1 6-3,2010,m,Juan Monaco,Michael Llodra,ARG,FRA,68,57,5,5,2,7,63,63,57,45,197,205,172,179,147,153,44,47,42,39,152,137,73,53,31,46,53,52,35.91,28.35,,,,,,,,
Second,Nikolay Davydenko,6-3 6-3 6-0,2010,m,Nikolay Davydenko,Illya Marchenko,RUS,UKR,75,53,9,1,0,1,79,62,47,30,207,192,175,173,139,140,64,14,52,29,90,55,27,14,19,32,57,50,37.13,18.6,,,,,,,,
Second,Novak Djokovic,3-6 6-1 6-1 6-3,2010,m,Novak Djokovic,Marco Chiudinelli,SRB,SUI,63,56,12,3,9,3,75,58,33,42,202,208,186,187,158,147,44,18,48,38,124,103,46,25,61,42,73,58,24.75,24.36,,,,,,,,
Second,Jo-Wilfried Tsonga,6-4 6-3 6-3,2010,m,Jo-Wilfried Tsonga,Taylor Dent,FRA,USA,58,47,12,4,0,7,86,70,61,47,215,231,191,203,147,172,45,100,39,25,91,67,42,25,10,33,60,52,52.46,32.9,,,,,,,,
Second,Tommy Haas,4-6 6-4 6-3 1-6 6-3,2010,m,Tommy Haas,Janko Tipsarevic,GER,SRB,56,54,16,14,7,5,72,69,44,52,198,202,181,188,155,145,75,35,38,39,144,140,60,39,78,41,74,61,31.68,35.88,,,,,,,,
Second,Nicolas Almagro,6-4 6-2 3-6 4-6 6-3,2010,m,Nicolas Almagro,Benjamin Becker,ESP,GER,59,53,17,14,1,6,78,77,67,55,214,216,186,189,147,148,57,100,32,26,135,121,55,34,39,55,45,79,52.26,42.35,,,,,,,,
Second,Andy Roddick,6-3 6-4 6-4,2010,m,Andy Roddick,Thomaz Bellucci,USA,BRA,80,61,11,8,0,4,78,65,75,47,220,204,195,178,167,153,33,20,40,23,102,75,27,35,13,43,57,61,58.5,30.55,,,,,,,,
Second,Feliciano Lopez,6-3 2-6 6-3 6-2,2010,m,Feliciano Lopez,Rainer Schuettler,ESP,GER,48,64,11,2,4,4,70,68,59,44,210,199,186,167,155,139,50,22,39,35,117,102,42,27,57,50,63,48,41.3,29.92,,,,,,,,
Second,Fernando Gonzalez,6-3 6-4 7-5,2010,m,Fernando Gonzalez,Marsel Ilhan,CHI,TUR,59,77,14,5,6,1,86,59,51,59,205,201,175,177,149,146,44,33,41,26,109,84,51,19,44,24,67,59,43.86,34.81,,,,,,,,
Second,Marin Cilic,6-7(6) 6-3 4-6 6-2 6-4,2010,m,Marin Cilic,Bernard Tomic,CRO,AUS,46,66,25,4,3,8,78,63,57,45,209,196,192,182,144,138,50,38,41,33,185,161,67,29,70,63,64,64,44.46,28.35,,,,,,,,
Second,Stanislas Wawrinka,6-3 6-2 6-2,2010,m,Stanislas Wawrinka,Igor Kunitsyn,SUI,RUS,53,72,12,2,5,1,88,58,41,47,214,176,194,160,155,132,71,0,44,33,92,70,30,10,43,37,67,85,36.08,27.26,,,,,,,,
